timestamp,x,y,z
38192.402,2.7,5.4,-6.4
38192.494,2.8,5.3,-6.4
38192.554,2.5,5.4,-6.6
38192.649,2.6,5.3,-6.8
38192.733,2.7,5.3,-7.0
38192.822,2.7,5.5,-6.7
38192.887,2.6,5.5,-6.6
38192.977,2.7,5.6,-6.7
38193.065,2.7,5.6,-6.4
38193.155,2.4,5.3,-6.5
38193.244,2.5,5.5,-6.6
38193.303,2.4,5.5,-6.9
38193.393,2.7,5.4,-6.9
38193.485,2.7,5.2,-6.9
38193.574,2.4,5.5,-6.9
38193.634,2.8,5.5,-7.0
38193.724,2.7,5.5,-6.7
38193.813,2.4,5.8,-6.8
38193.902,2.5,5.3,-6.5
38193.962,2.4,5.6,-6.4
38194.052,2.7,5.6,-6.8
38194.146,2.6,5.3,-6.6
38194.234,2.7,5.3,-6.4
38194.293,2.5,5.3,-6.7
38194.386,2.4,5.2,-6.6
38194.475,2.4,5.5,-7.0
38194.564,2.4,5.5,-6.8
38194.655,2.7,5.4,-6.7
38194.713,2.7,5.3,-6.6
38194.805,2.4,5.5,-6.4
38194.893,2.7,5.3,-6.7
38195.045,2.5,5.3,-6.7
38195.134,2.5,5.3,-6.7
38195.212,2.8,5.2,-7.1
38195.3,2.7,4.8,-7.2
38195.377,3.2,5.1,-6.9
38195.465,3.2,5.0,-6.6
38195.554,3.3,4.5,-7.0
38195.632,3.0,4.3,-7.1
38195.719,3.4,4.4,-7.5
38195.796,4.1,3.5,-8.1
38195.901,3.4,2.6,-8.0
38195.961,3.1,2.9,-8.0
38196.05,3.1,2.7,-8.0
38196.123,3.3,2.7,-8.4
38196.216,3.9,2.5,-8.2
38196.292,3.9,2.5,-8.1
38196.38,3.7,2.5,-7.8
38196.456,4.0,2.3,-8.1
38196.544,3.9,2.2,-8.2
38196.622,4.1,2.5,-7.9
38196.71,4.0,2.8,-8.1
38196.785,3.8,1.8,-8.2
38196.879,3.4,1.5,-8.4
38196.966,3.6,1.5,-8.6
38197.04,4.1,1.9,-8.4
38197.129,3.4,0.7,-8.0
38197.207,3.1,-0.2,-8.6
38197.296,3.3,0.2,-8.3
38197.37,3.8,0.3,-8.1
38197.461,3.9,0.0,-8.8
38197.536,3.6,0.6,-8.2
38197.624,3.9,0.3,-8.5
38197.701,4.0,0.1,-8.2
38197.79,4.3,0.2,-8.2
38197.867,4.8,0.2,-8.1
38197.955,5.0,0.5,-8.1
38198.032,5.1,0.3,-7.7
38198.12,5.1,0.0,-8.0
38198.212,5.1,0.2,-7.9
38198.284,5.3,0.3,-7.7
38198.376,5.2,0.5,-7.8
38198.452,5.1,0.2,-7.8
38198.539,4.9,0.2,-7.5
38198.617,4.9,0.2,-7.5
38198.705,4.9,0.4,-7.8
38198.782,4.8,0.1,-8.2
38198.871,4.6,0.4,-7.9
38198.946,4.9,0.4,-7.8
38199.04,4.8,0.2,-7.6
38199.112,4.7,0.5,-8.0
38199.202,4.7,-0.0,-7.7
38199.276,4.9,0.1,-7.8
38199.365,4.8,0.1,-7.9
38199.457,4.6,0.1,-8.0
38199.53,4.9,0.2,-7.9
38199.621,4.9,0.1,-7.6
38199.702,5.0,0.0,-7.6
38199.784,4.9,0.5,-7.6
38199.858,4.9,0.1,-8.0
38199.95,5.0,0.2,-7.7
38200.025,4.7,0.1,-7.9
38200.188,5.0,0.3,-7.8
38200.28,4.8,0.2,-8.1
38200.354,4.8,0.2,-8.3
38200.447,4.8,0.1,-7.4
38200.522,4.9,0.0,-7.7
38200.612,5.0,0.4,-7.8
38200.688,4.7,0.3,-8.0
38200.774,4.8,0.1,-7.8
38200.867,4.8,0.2,-8.1
38200.943,4.9,0.6,-7.7
38201.032,5.0,0.2,-7.7
38201.106,4.7,0.5,-7.8
38201.193,4.8,0.1,-8.0
38201.27,4.6,0.3,-7.8
38201.361,4.7,0.2,-7.8
38201.436,4.9,0.1,-7.8
38201.553,4.7,0.2,-7.5
38201.6,4.9,0.3,-8.1
38201.693,5.0,0.2,-8.0
38201.764,4.7,0.5,-7.7
38201.856,4.7,0.2,-8.2
38201.948,5.0,0.2,-7.8
38202.021,4.8,0.2,-7.8
38202.111,4.7,0.2,-7.8
38202.186,4.6,0.1,-7.7
38202.277,4.7,0.1,-8.0
38202.351,4.6,0.5,-8.2
38202.441,4.7,0.4,-8.2
38202.517,4.7,0.2,-7.9
38202.604,4.9,0.2,-7.5
38202.771,4.8,0.2,-7.5
38202.845,4.9,0.2,-8.0
38202.938,4.7,0.3,-8.1
38203.011,4.7,0.1,-7.7
38203.12,4.9,0.2,-7.5
38203.175,4.7,0.4,-7.5
38203.267,4.7,0.1,-7.9
38203.356,4.9,0.3,-8.0
38203.431,5.0,0.1,-8.1
38203.52,4.7,0.2,-7.9
38203.597,4.9,0.4,-8.2
38203.69,4.6,0.0,-8.0
38203.762,4.6,0.2,-8.0
38203.851,4.7,0.5,-8.0
38203.927,4.6,0.4,-8.2
38204.014,4.5,-0.5,-8.2
38204.098,4.5,-1.0,-8.5
38204.182,4.1,-1.0,-7.8
38204.256,4.2,-0.6,-8.2
38204.348,4.3,0.0,-7.9
38204.421,4.6,-0.2,-8.2
38204.511,4.5,-0.1,-7.8
38204.585,4.6,-0.1,-8.1
38204.676,4.5,0.2,-7.8
38204.766,4.8,-0.2,-7.6
38204.84,4.7,-0.1,-8.1
38204.93,4.9,-0.2,-8.1
38205.004,4.8,-0.2,-7.8
38205.098,4.6,-0.5,-8.0
38205.169,4.6,-0.1,-7.8
38205.169,4.6,-0.1,-7.8
38205.262,4.9,-0.1,-7.8
38205.34,4.8,-0.4,-7.8
38205.424,4.5,-0.5,-7.7
38205.498,4.5,-0.4,-7.9
38205.593,4.9,-0.1,-7.9
38205.663,4.7,-0.2,-7.6
38205.755,4.8,-0.1,-7.8
38205.842,4.5,-0.4,-8.0
38205.919,4.9,-0.2,-8.3
38206.009,4.9,-0.4,-8.3
38206.082,4.6,-0.2,-8.0
38206.173,4.7,-0.4,-8.0
38206.248,4.8,-0.4,-8.2
38206.344,4.9,-0.3,-7.8
38206.412,4.6,-0.2,-8.2
38206.502,4.6,-0.1,-7.7
38206.578,4.6,-0.0,-8.3
38206.668,4.5,-0.3,-8.1
38206.742,4.6,-0.3,-7.8
38206.832,4.6,-0.3,-8.2
38206.909,4.9,-0.3,-7.8
38206.997,4.5,-0.2,-7.9
38207.076,4.7,-0.0,-7.9
38207.162,4.8,-0.1,-7.8
38207.239,4.6,-0.1,-7.7
38207.328,4.5,-0.2,-8.2
38207.42,5.0,-0.3,-8.2
38207.493,4.8,-0.2,-8.0
38207.584,4.6,-0.4,-7.9
38207.659,4.6,-0.3,-8.1
38207.765,4.6,-0.3,-7.7
38207.822,4.9,-0.2,-8.1
38207.915,4.6,-0.1,-8.1
38207.988,4.8,-0.2,-8.1
38208.077,4.7,-0.3,-8.1
38208.154,4.7,-0.0,-7.8
38208.244,4.7,-0.3,-8.0
38208.319,4.9,-0.1,-8.0
38208.41,4.8,-0.4,-8.2
38208.485,4.9,-0.3,-8.0
38208.572,4.7,-0.2,-8.1
38208.648,4.8,-0.3,-7.6
38208.741,4.7,-0.1,-8.1
38208.833,4.6,-0.0,-8.2
38208.904,4.5,-0.2,-8.0
38208.993,4.7,-0.3,-8.1
38209.07,4.6,0.0,-8.0
38209.158,4.6,-0.1,-7.8
38209.233,4.7,-0.4,-7.8
38209.324,4.7,-0.3,-8.2
38209.403,4.9,-0.5,-7.8
38209.489,4.6,-0.2,-7.8
38209.568,4.8,-0.2,-8.0
38209.654,4.6,-0.3,-8.3
38209.73,4.9,-0.3,-8.2
38209.818,4.9,-0.3,-8.0
38209.893,4.7,-0.3,-7.7
38209.984,4.6,-0.4,-8.0
38210.076,4.5,-0.3,-8.0
38210.148,4.9,-0.2,-8.0
38210.245,4.9,-0.2,-8.2
38210.313,4.7,-0.3,-8.0
38210.405,4.6,-0.4,-8.1
38210.478,4.6,-0.5,-8.0
38210.568,4.7,-0.2,-7.8
38210.644,4.8,0.0,-8.0
38210.74,4.9,-0.2,-8.1
38210.808,4.8,-0.3,-7.9
38210.901,4.7,-0.4,-7.8
38210.974,4.7,-0.5,-8.1
38211.065,4.6,-0.1,-7.9
38211.141,4.7,-0.3,-8.2
38211.231,4.7,-0.3,-8.0
38211.303,5.0,-0.2,-8.2
38211.395,4.8,-0.0,-8.2
38211.485,4.7,-0.2,-7.9
38211.559,4.8,-0.3,-8.1
38211.656,4.9,-0.0,-8.2
38211.724,4.6,-0.2,-7.9
38211.817,4.7,-0.3,-7.6
38211.889,4.9,-0.3,-7.8
38211.981,4.7,-0.2,-7.8
38212.053,4.8,-0.1,-8.0
38212.163,4.5,-0.2,-7.9
38212.221,4.7,-0.2,-7.6
38212.314,4.8,-0.2,-8.0
38212.387,4.9,-0.2,-8.0
38212.472,4.6,-0.3,-7.5
